Package,LibPath,Version,Priority,Built
tcltk,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
tibble,C:/Program Files/R/R-3.4.0/library,1.3.4,NA,3.4.2
tidyr,C:/Program Files/R/R-3.4.0/library,0.6.1,NA,3.4.0
tidyverse,C:/Program Files/R/R-3.4.0/library,1.1.1,NA,3.4.0
tigris,C:/Program Files/R/R-3.4.0/library,0.3.3,NA,3.4.0
tools,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
translations,C:/Program Files/R/R-3.4.0/library,3.4.0,NA,3.4.0
trimcluster,C:/Program Files/R/R-3.4.0/library,0.1-2,NA,3.4.0
usethis,C:/Program Files/R/R-3.4.0/library,1.2.0,NA,3.4.3
utils,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
uuid,C:/Program Files/R/R-3.4.0/library,0.1-2,NA,3.4.0
V8,C:/Program Files/R/R-3.4.0/library,1.5,NA,3.4.1
viridis,C:/Program Files/R/R-3.4.0/library,0.4.0,NA,3.4.0
viridisLite,C:/Program Files/R/R-3.4.0/library,0.2.0,NA,3.4.0
WDI,C:/Program Files/R/R-3.4.0/library,2.4,NA,3.4.0
wesanderson,C:/Program Files/R/R-3.4.0/library,0.3.2,NA,3.4.1
whisker,C:/Program Files/R/R-3.4.0/library,0.3-2,NA,3.4.0
withr,C:/Program Files/R/R-3.4.0/library,1.0.2,NA,3.4.0
XML,C:/Program Files/R/R-3.4.0/library,3.98-1.6,NA,3.4.0
xml2,C:/Program Files/R/R-3.4.0/library,1.1.1,NA,3.4.0
xtable,C:/Program Files/R/R-3.4.0/library,1.8-2,NA,3.4.0
xts,C:/Program Files/R/R-3.4.0/library,0.9-7,NA,3.4.0
yaml,C:/Program Files/R/R-3.4.0/library,2.1.14,NA,3.4.0
zoo,C:/Program Files/R/R-3.4.0/library,1.8-0,NA,3.4.0
